instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,wind_category,waktu_hari
2781,2011-04-30,Summer,0,4,18,0,6,Weekend/Holiday,1,0.54,0.5152,0.43,0.1343,134,237,371,Sedang,Sore (Pulang)
2782,2011-04-30,Summer,0,4,19,0,6,Weekend/Holiday,1,0.54,0.5152,0.43,0.1343,150,237,387,Sedang,Sore (Pulang)
2783,2011-04-30,Summer,0,4,20,0,6,Weekend/Holiday,1,0.44,0.4394,0.62,0.1343,65,159,224,Sedang,Malam/Dini Hari
2784,2011-04-30,Summer,0,4,21,0,6,Weekend/Holiday,1,0.44,0.4394,0.62,0.1343,58,119,177,Sedang,Malam/Dini Hari
2785,2011-04-30,Summer,0,4,22,0,6,Weekend/Holiday,1,0.44,0.4394,0.67,0.1045,37,106,143,Sedang,Malam/Dini Hari
2786,2011-04-30,Summer,0,4,23,0,6,Weekend/Holiday,1,0.44,0.4394,0.67,0.1045,34,91,125,Sedang,Malam/Dini Hari
2787,2011-05-01,Summer,0,5,0,0,0,Weekend/Holiday,1,0.42,0.4242,0.67,0.0896,19,77,96,Rendah,Malam/Dini Hari
2788,2011-05-01,Summer,0,5,1,0,0,Weekend/Holiday,1,0.42,0.4242,0.69,0.1045,9,50,59,Sedang,Malam/Dini Hari
2789,2011-05-01,Summer,0,5,2,0,0,Weekend/Holiday,1,0.42,0.4242,0.77,0.1045,7,43,50,Sedang,Malam/Dini Hari
2790,2011-05-01,Summer,0,5,3,0,0,Weekend/Holiday,1,0.4,0.4091,0.82,0.1045,8,15,23,Sedang,Malam/Dini Hari
2791,2011-05-01,Summer,0,5,4,0,0,Weekend/Holiday,1,0.4,0.4091,0.76,0.1045,6,11,17,Sedang,Malam/Dini Hari
2792,2011-05-01,Summer,0,5,5,0,0,Weekend/Holiday,1,0.4,0.4091,0.82,0.0896,0,10,10,Rendah,Pagi (Berangkat)
2793,2011-05-01,Summer,0,5,6,0,0,Weekend/Holiday,2,0.4,0.4091,0.82,0.0896,4,9,13,Rendah,Pagi (Berangkat)
2794,2011-05-01,Summer,0,5,7,0,0,Weekend/Holiday,2,0.42,0.4242,0.77,0.0896,7,26,33,Rendah,Pagi (Berangkat)
2795,2011-05-01,Summer,0,5,8,0,0,Weekend/Holiday,2,0.44,0.4394,0.77,0.1343,16,43,59,Sedang,Pagi (Berangkat)
2796,2011-05-01,Summer,0,5,9,0,0,Weekend/Holiday,2,0.46,0.4545,0.72,0.1343,45,96,141,Sedang,Pagi (Berangkat)
2797,2011-05-01,Summer,0,5,10,0,0,Weekend/Holiday,2,0.48,0.4697,0.63,0.194,109,155,264,Sedang,Siang (Rekreasi)
2798,2011-05-01,Summer,0,5,11,0,0,Weekend/Holiday,1,0.46,0.4545,0.82,0.1045,109,141,250,Sedang,Siang (Rekreasi)
2799,2011-05-01,Summer,0,5,12,0,0,Weekend/Holiday,2,0.48,0.4697,0.77,0.1045,109,172,281,Sedang,Siang (Rekreasi)
2800,2011-05-01,Summer,0,5,13,0,0,Weekend/Holiday,2,0.5,0.4848,0.63,0.1642,123,209,332,Sedang,Siang (Rekreasi)
2801,2011-05-01,Summer,0,5,14,0,0,Weekend/Holiday,2,0.5,0.4848,0.68,0.1045,85,153,238,Sedang,Siang (Rekreasi)
2802,2011-05-01,Summer,0,5,15,0,0,Weekend/Holiday,2,0.5,0.4848,0.72,0.0,113,153,266,,Siang (Rekreasi)
2803,2011-05-01,Summer,0,5,16,0,0,Weekend/Holiday,2,0.5,0.4848,0.72,0.194,75,139,214,Sedang,Sore (Pulang)
2804,2011-05-01,Summer,0,5,17,0,0,Weekend/Holiday,2,0.48,0.4697,0.82,0.2537,60,136,196,Sedang,Sore (Pulang)
2805,2011-05-01,Summer,0,5,18,0,0,Weekend/Holiday,2,0.46,0.4545,0.82,0.0896,33,126,159,Rendah,Sore (Pulang)
2806,2011-05-01,Summer,0,5,19,0,0,Weekend/Holiday,2,0.46,0.4545,0.84,0.1045,47,131,178,Sedang,Sore (Pulang)
2807,2011-05-01,Summer,0,5,20,0,0,Weekend/Holiday,2,0.46,0.4545,0.82,0.0,35,86,121,,Malam/Dini Hari
2808,2011-05-01,Summer,0,5,21,0,0,Weekend/Holiday,2,0.46,0.4545,0.82,0.0,23,82,105,,Malam/Dini Hari
2809,2011-05-01,Summer,0,5,22,0,0,Weekend/Holiday,2,0.46,0.4545,0.82,0.0,32,68,100,,Malam/Dini Hari
2810,2011-05-01,Summer,0,5,23,0,0,Weekend/Holiday,1,0.46,0.4545,0.77,0.194,64,82,146,Sedang,Malam/Dini Hari
2811,2011-05-02,Summer,0,5,0,0,1,Working Day,1,0.46,0.4545,0.72,0.1343,68,109,177,Sedang,Malam/Dini Hari
2812,2011-05-02,Summer,0,5,1,0,1,Working Day,1,0.46,0.4545,0.72,0.1343,41,73,114,Sedang,Malam/Dini Hari
2813,2011-05-02,Summer,0,5,2,0,1,Working Day,2,0.44,0.4394,0.77,0.2239,16,19,35,Sedang,Malam/Dini Hari
2814,2011-05-02,Summer,0,5,3,0,1,Working Day,1,0.44,0.4394,0.77,0.1343,9,7,16,Sedang,Malam/Dini Hari
2815,2011-05-02,Summer,0,5,4,0,1,Working Day,1,0.44,0.4394,0.77,0.1642,9,8,17,Sedang,Malam/Dini Hari
2816,2011-05-02,Summer,0,5,5,0,1,Working Day,2,0.44,0.4394,0.77,0.1343,4,16,20,Sedang,Pagi (Berangkat)
2817,2011-05-02,Summer,0,5,6,0,1,Working Day,1,0.44,0.4394,0.88,0.1045,3,59,62,Sedang,Pagi (Berangkat)
2818,2011-05-02,Summer,0,5,7,0,1,Working Day,2,0.46,0.4545,0.82,0.3284,16,193,209,Tinggi,Pagi (Berangkat)
2819,2011-05-02,Summer,0,5,8,0,1,Working Day,2,0.48,0.4697,0.77,0.2239,21,350,371,Sedang,Pagi (Berangkat)
2820,2011-05-02,Summer,0,5,9,0,1,Working Day,2,0.5,0.4848,0.77,0.2836,41,131,172,Sedang,Pagi (Berangkat)
2821,2011-05-02,Summer,0,5,10,0,1,Working Day,2,0.54,0.5152,0.77,0.2239,31,77,108,Sedang,Siang (Rekreasi)
2822,2011-05-02,Summer,0,5,11,0,1,Working Day,1,0.58,0.5455,0.73,0.2985,34,96,130,Sedang,Siang (Rekreasi)
2823,2011-05-02,Summer,0,5,12,0,1,Working Day,1,0.62,0.6061,0.69,0.2239,40,147,187,Sedang,Siang (Rekreasi)
2824,2011-05-02,Summer,0,5,13,0,1,Working Day,2,0.62,0.6061,0.69,0.194,51,119,170,Sedang,Siang (Rekreasi)
2825,2011-05-02,Summer,0,5,14,0,1,Working Day,1,0.64,0.6061,0.69,0.2239,48,133,181,Sedang,Siang (Rekreasi)
2826,2011-05-02,Summer,0,5,15,0,1,Working Day,1,0.66,0.6212,0.61,0.194,45,110,155,Sedang,Siang (Rekreasi)
2827,2011-05-02,Summer,0,5,16,0,1,Working Day,1,0.66,0.6212,0.61,0.2239,49,220,269,Sedang,Sore (Pulang)
2828,2011-05-02,Summer,0,5,17,0,1,Working Day,1,0.66,0.6212,0.65,0.194,65,472,537,Sedang,Sore (Pulang)
2829,2011-05-02,Summer,0,5,18,0,1,Working Day,2,0.64,0.6061,0.65,0.194,68,450,518,Sedang,Sore (Pulang)
2830,2011-05-02,Summer,0,5,19,0,1,Working Day,2,0.62,0.6061,0.69,0.1343,46,268,314,Sedang,Sore (Pulang)
2831,2011-05-02,Summer,0,5,20,0,1,Working Day,2,0.62,0.6061,0.69,0.1343,44,174,218,Sedang,Malam/Dini Hari
2832,2011-05-02,Summer,0,5,21,0,1,Working Day,2,0.6,0.5909,0.73,0.1045,54,178,232,Sedang,Malam/Dini Hari
2833,2011-05-02,Summer,0,5,22,0,1,Working Day,2,0.6,0.5909,0.73,0.0,28,97,125,,Malam/Dini Hari
2834,2011-05-02,Summer,0,5,23,0,1,Working Day,2,0.56,0.5303,0.83,0.194,16,48,64,Sedang,Malam/Dini Hari
2835,2011-05-03,Summer,0,5,0,0,2,Working Day,2,0.56,0.5303,0.83,0.2239,0,16,16,Sedang,Malam/Dini Hari
2836,2011-05-03,Summer,0,5,1,0,2,Working Day,2,0.56,0.5303,0.78,0.2537,0,14,14,Sedang,Malam/Dini Hari
2837,2011-05-03,Summer,0,5,2,0,2,Working Day,2,0.56,0.5303,0.78,0.2537,0,5,5,Sedang,Malam/Dini Hari
2838,2011-05-03,Summer,0,5,3,0,2,Working Day,1,0.54,0.5152,0.83,0.2836,0,2,2,Sedang,Malam/Dini Hari
2839,2011-05-03,Summer,0,5,4,0,2,Working Day,1,0.52,0.5,0.88,0.2239,3,1,4,Sedang,Malam/Dini Hari
2840,2011-05-03,Summer,0,5,5,0,2,Working Day,1,0.52,0.5,0.88,0.1343,0,14,14,Sedang,Pagi (Berangkat)
2841,2011-05-03,Summer,0,5,6,0,2,Working Day,2,0.52,0.5,0.94,0.1642,7,102,109,Sedang,Pagi (Berangkat)
2842,2011-05-03,Summer,0,5,7,0,2,Working Day,2,0.54,0.5152,0.88,0.2239,17,248,265,Sedang,Pagi (Berangkat)
2843,2011-05-03,Summer,0,5,8,0,2,Working Day,2,0.56,0.5303,0.83,0.2836,24,435,459,Sedang,Pagi (Berangkat)
2844,2011-05-03,Summer,0,5,9,0,2,Working Day,2,0.6,0.5758,0.78,0.3582,29,157,186,Tinggi,Pagi (Berangkat)
2845,2011-05-03,Summer,0,5,10,0,2,Working Day,2,0.64,0.6061,0.69,0.3582,36,91,127,Tinggi,Siang (Rekreasi)
2846,2011-05-03,Summer,0,5,11,0,2,Working Day,2,0.66,0.6212,0.65,0.3284,20,120,140,Tinggi,Siang (Rekreasi)
2847,2011-05-03,Summer,0,5,12,0,2,Working Day,2,0.68,0.6364,0.61,0.4925,48,169,217,Tinggi,Siang (Rekreasi)
2848,2011-05-03,Summer,0,5,13,0,2,Working Day,2,0.7,0.6515,0.58,0.6119,50,144,194,Ekstrem,Siang (Rekreasi)
2849,2011-05-03,Summer,0,5,14,0,2,Working Day,2,0.7,0.6515,0.58,0.5224,36,122,158,Ekstrem,Siang (Rekreasi)
2850,2011-05-03,Summer,0,5,15,0,2,Working Day,2,0.7,0.6515,0.58,0.4478,37,117,154,Tinggi,Siang (Rekreasi)
2851,2011-05-03,Summer,0,5,16,0,2,Working Day,1,0.72,0.6667,0.54,0.4627,46,225,271,Tinggi,Sore (Pulang)
2852,2011-05-03,Summer,0,5,17,0,2,Working Day,1,0.7,0.6515,0.54,0.4627,53,464,517,Tinggi,Sore (Pulang)
2853,2011-05-03,Summer,0,5,18,0,2,Working Day,1,0.7,0.6515,0.48,0.4179,59,485,544,Tinggi,Sore (Pulang)
2854,2011-05-03,Summer,0,5,19,0,2,Working Day,1,0.68,0.6364,0.57,0.3582,42,323,365,Tinggi,Sore (Pulang)
2855,2011-05-03,Summer,0,5,20,0,2,Working Day,1,0.66,0.6212,0.61,0.194,28,262,290,Sedang,Malam/Dini Hari
2856,2011-05-03,Summer,0,5,21,0,2,Working Day,2,0.64,0.6212,0.61,0.4478,42,183,225,Tinggi,Malam/Dini Hari
2857,2011-05-03,Summer,0,5,22,0,2,Working Day,2,0.58,0.5455,0.6,0.3881,14,99,113,Tinggi,Malam/Dini Hari
2858,2011-05-03,Summer,0,5,23,0,2,Working Day,2,0.56,0.5303,0.68,0.3284,12,50,62,Tinggi,Malam/Dini Hari
2859,2011-05-04,Summer,0,5,0,0,3,Working Day,3,0.52,0.5,0.77,0.1642,5,22,27,Sedang,Malam/Dini Hari
2860,2011-05-04,Summer,0,5,1,0,3,Working Day,3,0.5,0.4848,0.82,0.2836,1,6,7,Sedang,Malam/Dini Hari
2861,2011-05-04,Summer,0,5,2,0,3,Working Day,3,0.5,0.4848,0.82,0.2836,0,4,4,Sedang,Malam/Dini Hari
2862,2011-05-04,Summer,0,5,3,0,3,Working Day,3,0.42,0.4242,0.88,0.5224,0,1,1,Ekstrem,Malam/Dini Hari
2863,2011-05-04,Summer,0,5,4,0,3,Working Day,3,0.38,0.3939,0.94,0.3284,1,2,3,Tinggi,Malam/Dini Hari
2864,2011-05-04,Summer,0,5,5,0,3,Working Day,3,0.36,0.3333,0.87,0.3284,1,8,9,Tinggi,Pagi (Berangkat)
2865,2011-05-04,Summer,0,5,6,0,3,Working Day,3,0.34,0.303,0.93,0.3881,0,21,21,Tinggi,Pagi (Berangkat)
2866,2011-05-04,Summer,0,5,7,0,3,Working Day,3,0.34,0.303,0.93,0.3582,6,46,52,Tinggi,Pagi (Berangkat)
2867,2011-05-04,Summer,0,5,8,0,3,Working Day,3,0.34,0.303,0.93,0.3881,5,74,79,Tinggi,Pagi (Berangkat)
2868,2011-05-04,Summer,0,5,9,0,3,Working Day,3,0.34,0.303,0.93,0.3582,5,35,40,Tinggi,Pagi (Berangkat)
2869,2011-05-04,Summer,0,5,10,0,3,Working Day,2,0.34,0.3182,0.93,0.2836,5,26,31,Sedang,Siang (Rekreasi)
2870,2011-05-04,Summer,0,5,11,0,3,Working Day,1,0.4,0.4091,0.82,0.3284,3,69,72,Tinggi,Siang (Rekreasi)
2871,2011-05-04,Summer,0,5,12,0,3,Working Day,2,0.44,0.4394,0.62,0.3582,19,105,124,Tinggi,Siang (Rekreasi)
2872,2011-05-04,Summer,0,5,13,0,3,Working Day,2,0.46,0.4545,0.59,0.4478,15,128,143,Tinggi,Siang (Rekreasi)
2873,2011-05-04,Summer,0,5,14,0,3,Working Day,1,0.5,0.4848,0.51,0.3881,13,94,107,Tinggi,Siang (Rekreasi)
2874,2011-05-04,Summer,0,5,15,0,3,Working Day,1,0.48,0.4697,0.51,0.4179,22,107,129,Tinggi,Siang (Rekreasi)
2875,2011-05-04,Summer,0,5,16,0,3,Working Day,1,0.5,0.4848,0.45,0.4627,22,173,195,Tinggi,Sore (Pulang)
2876,2011-05-04,Summer,0,5,17,0,3,Working Day,1,0.4,0.4091,0.71,0.2537,22,388,410,Sedang,Sore (Pulang)
2877,2011-05-04,Summer,0,5,18,0,3,Working Day,1,0.42,0.4242,0.67,0.2537,29,367,396,Sedang,Sore (Pulang)
2878,2011-05-04,Summer,0,5,19,0,3,Working Day,1,0.42,0.4242,0.58,0.3582,30,266,296,Tinggi,Sore (Pulang)
2879,2011-05-04,Summer,0,5,20,0,3,Working Day,1,0.4,0.4091,0.62,0.3284,17,174,191,Tinggi,Malam/Dini Hari
2880,2011-05-04,Summer,0,5,21,0,3,Working Day,1,0.4,0.4091,0.62,0.1642,17,133,150,Sedang,Malam/Dini Hari
2881,2011-05-04,Summer,0,5,22,0,3,Working Day,1,0.38,0.3939,0.62,0.2239,9,80,89,Sedang,Malam/Dini Hari
2882,2011-05-04,Summer,0,5,23,0,3,Working Day,1,0.36,0.3485,0.62,0.2239,8,49,57,Sedang,Malam/Dini Hari
2883,2011-05-05,Summer,0,5,0,0,4,Working Day,1,0.36,0.3485,0.66,0.194,4,23,27,Sedang,Malam/Dini Hari
2884,2011-05-05,Summer,0,5,1,0,4,Working Day,1,0.34,0.3333,0.71,0.194,4,6,10,Sedang,Malam/Dini Hari
2885,2011-05-05,Summer,0,5,2,0,4,Working Day,1,0.34,0.3182,0.66,0.2239,1,4,5,Sedang,Malam/Dini Hari
2886,2011-05-05,Summer,0,5,3,0,4,Working Day,1,0.34,0.3182,0.66,0.2537,0,4,4,Sedang,Malam/Dini Hari
2887,2011-05-05,Summer,0,5,4,0,4,Working Day,1,0.34,0.3182,0.66,0.2537,4,3,7,Sedang,Malam/Dini Hari
2888,2011-05-05,Summer,0,5,5,0,4,Working Day,1,0.34,0.3182,0.66,0.2537,1,29,30,Sedang,Pagi (Berangkat)
2889,2011-05-05,Summer,0,5,6,0,4,Working Day,1,0.34,0.3182,0.66,0.2537,3,86,89,Sedang,Pagi (Berangkat)
2890,2011-05-05,Summer,0,5,7,0,4,Working Day,1,0.38,0.3939,0.58,0.2537,16,255,271,Sedang,Pagi (Berangkat)
2891,2011-05-05,Summer,0,5,8,0,4,Working Day,1,0.42,0.4242,0.5,0.2537,25,415,440,Sedang,Pagi (Berangkat)
2892,2011-05-05,Summer,0,5,9,0,4,Working Day,1,0.46,0.4545,0.44,0.2836,20,164,184,Sedang,Pagi (Berangkat)
2893,2011-05-05,Summer,0,5,10,0,4,Working Day,1,0.5,0.4848,0.39,0.2836,30,98,128,Sedang,Siang (Rekreasi)
2894,2011-05-05,Summer,0,5,11,0,4,Working Day,1,0.52,0.5,0.36,0.4478,43,105,148,Tinggi,Siang (Rekreasi)
2895,2011-05-05,Summer,0,5,12,0,4,Working Day,1,0.52,0.5,0.34,0.3582,27,169,196,Tinggi,Siang (Rekreasi)
2896,2011-05-05,Summer,0,5,13,0,4,Working Day,1,0.54,0.5152,0.3,0.5821,50,142,192,Ekstrem,Siang (Rekreasi)
2897,2011-05-05,Summer,0,5,14,0,4,Working Day,1,0.54,0.5152,0.28,0.4478,19,135,154,Tinggi,Siang (Rekreasi)
2898,2011-05-05,Summer,0,5,15,0,4,Working Day,1,0.56,0.5303,0.26,0.4925,27,120,147,Tinggi,Siang (Rekreasi)
2899,2011-05-05,Summer,0,5,16,0,4,Working Day,1,0.58,0.5455,0.24,0.4179,36,233,269,Tinggi,Sore (Pulang)
2900,2011-05-05,Summer,0,5,17,0,4,Working Day,1,0.56,0.5303,0.26,0.3881,66,467,533,Tinggi,Sore (Pulang)
2901,2011-05-05,Summer,0,5,18,0,4,Working Day,1,0.56,0.5303,0.26,0.2836,64,456,520,Sedang,Sore (Pulang)
2902,2011-05-05,Summer,0,5,19,0,4,Working Day,1,0.54,0.5152,0.28,0.2239,56,305,361,Sedang,Sore (Pulang)
2903,2011-05-05,Summer,0,5,20,0,4,Working Day,1,0.5,0.4848,0.34,0.1642,33,225,258,Sedang,Malam/Dini Hari
2904,2011-05-05,Summer,0,5,21,0,4,Working Day,1,0.5,0.4848,0.36,0.194,39,141,180,Sedang,Malam/Dini Hari
2905,2011-05-05,Summer,0,5,22,0,4,Working Day,1,0.48,0.4697,0.39,0.194,30,135,165,Sedang,Malam/Dini Hari
2906,2011-05-05,Summer,0,5,23,0,4,Working Day,1,0.46,0.4545,0.41,0.194,16,99,115,Sedang,Malam/Dini Hari
2907,2011-05-06,Summer,0,5,0,0,5,Working Day,1,0.44,0.4394,0.44,0.1642,13,43,56,Sedang,Malam/Dini Hari
2908,2011-05-06,Summer,0,5,1,0,5,Working Day,1,0.4,0.4091,0.62,0.1642,8,24,32,Sedang,Malam/Dini Hari
2909,2011-05-06,Summer,0,5,2,0,5,Working Day,1,0.38,0.3939,0.62,0.1045,1,15,16,Sedang,Malam/Dini Hari
2910,2011-05-06,Summer,0,5,3,0,5,Working Day,1,0.36,0.3636,0.71,0.1045,3,6,9,Sedang,Malam/Dini Hari
2911,2011-05-06,Summer,0,5,4,0,5,Working Day,1,0.36,0.3636,0.71,0.1045,0,1,1,Sedang,Malam/Dini Hari
2912,2011-05-06,Summer,0,5,5,0,5,Working Day,1,0.34,0.3485,0.81,0.1045,0,16,16,Sedang,Pagi (Berangkat)
2913,2011-05-06,Summer,0,5,6,0,5,Working Day,1,0.36,0.3636,0.81,0.0896,8,74,82,Rendah,Pagi (Berangkat)
2914,2011-05-06,Summer,0,5,7,0,5,Working Day,1,0.4,0.4091,0.82,0.0,20,202,222,,Pagi (Berangkat)
2915,2011-05-06,Summer,0,5,8,0,5,Working Day,1,0.42,0.4242,0.77,0.2537,35,415,450,Sedang,Pagi (Berangkat)
2916,2011-05-06,Summer,0,5,9,0,5,Working Day,1,0.46,0.4545,0.67,0.2836,27,161,188,Sedang,Pagi (Berangkat)
2917,2011-05-06,Summer,0,5,10,0,5,Working Day,2,0.54,0.5152,0.49,0.3284,30,97,127,Tinggi,Siang (Rekreasi)
2918,2011-05-06,Summer,0,5,11,0,5,Working Day,2,0.54,0.5152,0.49,0.3284,42,123,165,Tinggi,Siang (Rekreasi)
2919,2011-05-06,Summer,0,5,12,0,5,Working Day,1,0.56,0.5303,0.49,0.3582,48,198,246,Tinggi,Siang (Rekreasi)
2920,2011-05-06,Summer,0,5,13,0,5,Working Day,1,0.58,0.5455,0.4,0.3284,71,182,253,Tinggi,Siang (Rekreasi)
2921,2011-05-06,Summer,0,5,14,0,5,Working Day,1,0.6,0.6212,0.4,0.4478,86,127,213,Tinggi,Siang (Rekreasi)
2922,2011-05-06,Summer,0,5,15,0,5,Working Day,1,0.6,0.6212,0.38,0.3881,89,171,260,Tinggi,Siang (Rekreasi)
2923,2011-05-06,Summer,0,5,16,0,5,Working Day,1,0.6,0.6212,0.4,0.2537,82,262,344,Sedang,Sore (Pulang)
2924,2011-05-06,Summer,0,5,17,0,5,Working Day,1,0.58,0.5455,0.4,0.3582,83,470,553,Tinggi,Sore (Pulang)
2925,2011-05-06,Summer,0,5,18,0,5,Working Day,3,0.54,0.5152,0.52,0.3582,85,385,470,Tinggi,Sore (Pulang)
2926,2011-05-06,Summer,0,5,19,0,5,Working Day,3,0.54,0.5152,0.52,0.3582,39,253,292,Tinggi,Sore (Pulang)
2927,2011-05-06,Summer,0,5,20,0,5,Working Day,1,0.52,0.5,0.48,0.1045,29,161,190,Sedang,Malam/Dini Hari
2928,2011-05-06,Summer,0,5,21,0,5,Working Day,1,0.48,0.4697,0.67,0.1343,22,130,152,Sedang,Malam/Dini Hari
2929,2011-05-06,Summer,0,5,22,0,5,Working Day,1,0.46,0.4545,0.72,0.2239,46,105,151,Sedang,Malam/Dini Hari
2930,2011-05-06,Summer,0,5,23,0,5,Working Day,1,0.44,0.4394,0.82,0.1343,27,93,120,Sedang,Malam/Dini Hari
2931,2011-05-07,Summer,0,5,0,0,6,Weekend/Holiday,1,0.42,0.4242,0.82,0.1343,10,76,86,Sedang,Malam/Dini Hari
2932,2011-05-07,Summer,0,5,1,0,6,Weekend/Holiday,1,0.42,0.4242,0.82,0.1045,8,50,58,Sedang,Malam/Dini Hari
2933,2011-05-07,Summer,0,5,2,0,6,Weekend/Holiday,1,0.42,0.4242,0.82,0.0896,5,47,52,Rendah,Malam/Dini Hari
2934,2011-05-07,Summer,0,5,3,0,6,Weekend/Holiday,1,0.42,0.4242,0.77,0.0896,9,9,18,Rendah,Malam/Dini Hari
2935,2011-05-07,Summer,0,5,4,0,6,Weekend/Holiday,1,0.4,0.4091,0.82,0.1045,1,4,5,Sedang,Malam/Dini Hari
2936,2011-05-07,Summer,0,5,5,0,6,Weekend/Holiday,1,0.46,0.4545,0.59,0.1343,4,3,7,Sedang,Pagi (Berangkat)
2937,2011-05-07,Summer,0,5,6,0,6,Weekend/Holiday,1,0.42,0.4242,0.77,0.0896,1,12,13,Rendah,Pagi (Berangkat)
2938,2011-05-07,Summer,0,5,7,0,6,Weekend/Holiday,1,0.48,0.4697,0.59,0.0,8,32,40,,Pagi (Berangkat)
2939,2011-05-07,Summer,0,5,8,0,6,Weekend/Holiday,1,0.52,0.5,0.52,0.194,19,96,115,Sedang,Pagi (Berangkat)
2940,2011-05-07,Summer,0,5,9,0,6,Weekend/Holiday,1,0.54,0.5152,0.49,0.2836,54,164,218,Sedang,Pagi (Berangkat)
2941,2011-05-07,Summer,0,5,10,0,6,Weekend/Holiday,1,0.56,0.5303,0.49,0.2985,90,208,298,Sedang,Siang (Rekreasi)
2942,2011-05-07,Summer,0,5,11,0,6,Weekend/Holiday,1,0.56,0.5303,0.43,0.0,132,215,347,,Siang (Rekreasi)
2943,2011-05-07,Summer,0,5,12,0,6,Weekend/Holiday,1,0.6,0.6212,0.4,0.194,129,244,373,Sedang,Siang (Rekreasi)
2944,2011-05-07,Summer,0,5,13,0,6,Weekend/Holiday,1,0.6,0.6212,0.35,0.2836,196,240,436,Sedang,Siang (Rekreasi)
2945,2011-05-07,Summer,0,5,14,0,6,Weekend/Holiday,3,0.6,0.6212,0.35,0.1642,143,235,378,Sedang,Siang (Rekreasi)
2946,2011-05-07,Summer,0,5,15,0,6,Weekend/Holiday,1,0.6,0.6212,0.38,0.2537,148,230,378,Sedang,Siang (Rekreasi)
2947,2011-05-07,Summer,0,5,16,0,6,Weekend/Holiday,1,0.6,0.6212,0.38,0.194,119,223,342,Sedang,Sore (Pulang)
2948,2011-05-07,Summer,0,5,17,0,6,Weekend/Holiday,1,0.58,0.5455,0.4,0.2239,138,216,354,Sedang,Sore (Pulang)
2949,2011-05-07,Summer,0,5,18,0,6,Weekend/Holiday,1,0.58,0.5455,0.37,0.1642,114,175,289,Sedang,Sore (Pulang)
2950,2011-05-07,Summer,0,5,19,0,6,Weekend/Holiday,1,0.56,0.5303,0.43,0.194,88,179,267,Sedang,Sore (Pulang)
2951,2011-05-07,Summer,0,5,20,0,6,Weekend/Holiday,1,0.56,0.5303,0.43,0.1343,82,137,219,Sedang,Malam/Dini Hari
2952,2011-05-07,Summer,0,5,21,0,6,Weekend/Holiday,1,0.54,0.5152,0.49,0.2239,58,124,182,Sedang,Malam/Dini Hari
2953,2011-05-07,Summer,0,5,22,0,6,Weekend/Holiday,1,0.54,0.5152,0.49,0.194,26,94,120,Sedang,Malam/Dini Hari
2954,2011-05-07,Summer,0,5,23,0,6,Weekend/Holiday,1,0.5,0.4848,0.59,0.1045,30,89,119,Sedang,Malam/Dini Hari
2955,2011-05-08,Summer,0,5,0,0,0,Weekend/Holiday,2,0.5,0.4848,0.59,0.1045,22,78,100,Sedang,Malam/Dini Hari
2956,2011-05-08,Summer,0,5,1,0,0,Weekend/Holiday,2,0.52,0.5,0.55,0.0,8,56,64,,Malam/Dini Hari
2957,2011-05-08,Summer,0,5,2,0,0,Weekend/Holiday,1,0.48,0.4697,0.63,0.0,17,42,59,,Malam/Dini Hari
2958,2011-05-08,Summer,0,5,3,0,0,Weekend/Holiday,1,0.46,0.4545,0.72,0.0896,10,21,31,Rendah,Malam/Dini Hari
2959,2011-05-08,Summer,0,5,4,0,0,Weekend/Holiday,1,0.42,0.4242,0.82,0.0,2,8,10,,Malam/Dini Hari
2960,2011-05-08,Summer,0,5,5,0,0,Weekend/Holiday,2,0.44,0.4394,0.77,0.0,0,5,5,,Pagi (Berangkat)
2961,2011-05-08,Summer,0,5,6,0,0,Weekend/Holiday,2,0.44,0.4394,0.82,0.0,2,4,6,,Pagi (Berangkat)
2962,2011-05-08,Summer,0,5,7,0,0,Weekend/Holiday,2,0.46,0.4545,0.82,0.0,8,15,23,,Pagi (Berangkat)
2963,2011-05-08,Summer,0,5,8,0,0,Weekend/Holiday,1,0.52,0.5,0.63,0.1343,28,58,86,Sedang,Pagi (Berangkat)
2964,2011-05-08,Summer,0,5,9,0,0,Weekend/Holiday,1,0.56,0.5303,0.52,0.2239,48,112,160,Sedang,Pagi (Berangkat)
2965,2011-05-08,Summer,0,5,10,0,0,Weekend/Holiday,1,0.58,0.5455,0.49,0.1343,91,153,244,Sedang,Siang (Rekreasi)
2966,2011-05-08,Summer,0,5,11,0,0,Weekend/Holiday,1,0.58,0.5455,0.49,0.0896,142,198,340,Rendah,Siang (Rekreasi)
2967,2011-05-08,Summer,0,5,12,0,0,Weekend/Holiday,1,0.6,0.6212,0.46,0.0896,139,243,382,Rendah,Siang (Rekreasi)
2968,2011-05-08,Summer,0,5,13,0,0,Weekend/Holiday,1,0.6,0.6212,0.49,0.1343,166,224,390,Sedang,Siang (Rekreasi)
2969,2011-05-08,Summer,0,5,14,0,0,Weekend/Holiday,1,0.6,0.6212,0.49,0.0,126,240,366,,Siang (Rekreasi)
2970,2011-05-08,Summer,0,5,15,0,0,Weekend/Holiday,1,0.6,0.6212,0.49,0.0,128,230,358,,Siang (Rekreasi)
2971,2011-05-08,Summer,0,5,16,0,0,Weekend/Holiday,1,0.6,0.6212,0.46,0.1045,122,263,385,Sedang,Sore (Pulang)
