instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp_hour,atemp,hum_hour,windspeed_hour,casual,registered,cnt,waktu_hari,windspeed_day,temp_day,hum_day
3245,2011-05-20,2,0,5,2,0,5,1,1,0.44,0.4394,1.0,0.0896,4,4,8,Malam/Dini Hari,0.125013,0.536667,0.719583
3246,2011-05-20,2,0,5,3,0,5,1,1,0.44,0.4394,1.0,0.0,1,4,5,Malam/Dini Hari,0.125013,0.536667,0.719583
3247,2011-05-20,2,0,5,4,0,5,1,1,0.44,0.4394,0.94,0.0896,1,4,5,Malam/Dini Hari,0.125013,0.536667,0.719583
3248,2011-05-20,2,0,5,5,0,5,1,1,0.44,0.4394,0.94,0.1045,0,28,28,Pagi (Berangkat),0.125013,0.536667,0.719583
3249,2011-05-20,2,0,5,6,0,5,1,1,0.46,0.4545,0.88,0.1045,15,102,117,Pagi (Berangkat),0.125013,0.536667,0.719583
3250,2011-05-20,2,0,5,7,0,5,1,1,0.5,0.4848,0.77,0.1642,30,289,319,Pagi (Berangkat),0.125013,0.536667,0.719583
3251,2011-05-20,2,0,5,8,0,5,1,1,0.54,0.5152,0.68,0.0,41,476,517,Pagi (Berangkat),0.125013,0.536667,0.719583
3252,2011-05-20,2,0,5,9,0,5,1,1,0.54,0.5152,0.68,0.2239,35,199,234,Pagi (Berangkat),0.125013,0.536667,0.719583
3253,2011-05-20,2,0,5,10,0,5,1,1,0.56,0.5303,0.64,0.194,44,104,148,Siang (Rekreasi),0.125013,0.536667,0.719583
3254,2011-05-20,2,0,5,11,0,5,1,2,0.58,0.5455,0.6,0.194,63,133,196,Siang (Rekreasi),0.125013,0.536667,0.719583
3255,2011-05-20,2,0,5,12,0,5,1,2,0.6,0.6212,0.56,0.2537,69,186,255,Siang (Rekreasi),0.125013,0.536667,0.719583
3256,2011-05-20,2,0,5,13,0,5,1,3,0.6,0.6212,0.56,0.2836,60,172,232,Siang (Rekreasi),0.125013,0.536667,0.719583
3257,2011-05-20,2,0,5,14,0,5,1,1,0.62,0.6212,0.53,0.2239,66,131,197,Siang (Rekreasi),0.125013,0.536667,0.719583
3258,2011-05-20,2,0,5,15,0,5,1,2,0.6,0.6212,0.56,0.194,74,168,242,Siang (Rekreasi),0.125013,0.536667,0.719583
3259,2011-05-20,2,0,5,16,0,5,1,2,0.6,0.6212,0.53,0.1642,61,269,330,Sore (Pulang),0.125013,0.536667,0.719583
3260,2011-05-20,2,0,5,17,0,5,1,1,0.62,0.6212,0.53,0.0,71,483,554,Sore (Pulang),0.125013,0.536667,0.719583
3261,2011-05-20,2,0,5,18,0,5,1,1,0.6,0.6212,0.56,0.1642,79,394,473,Sore (Pulang),0.125013,0.536667,0.719583
3262,2011-05-20,2,0,5,19,0,5,1,1,0.58,0.5455,0.64,0.0896,49,253,302,Sore (Pulang),0.125013,0.536667,0.719583
3263,2011-05-20,2,0,5,20,0,5,1,1,0.58,0.5455,0.64,0.1045,40,180,220,Malam/Dini Hari,0.125013,0.536667,0.719583
3264,2011-05-20,2,0,5,21,0,5,1,1,0.56,0.5303,0.64,0.1045,40,155,195,Malam/Dini Hari,0.125013,0.536667,0.719583
3265,2011-05-20,2,0,5,22,0,5,1,1,0.54,0.5152,0.73,0.0,28,124,152,Malam/Dini Hari,0.125013,0.536667,0.719583
3266,2011-05-20,2,0,5,23,0,5,1,1,0.52,0.5,0.72,0.1642,15,100,115,Malam/Dini Hari,0.125013,0.536667,0.719583
3267,2011-05-21,2,0,5,0,0,6,0,1,0.52,0.5,0.77,0.1045,20,78,98,Malam/Dini Hari,0.12065,0.6025,0.626667
3268,2011-05-21,2,0,5,1,0,6,0,1,0.52,0.5,0.72,0.0,8,64,72,Malam/Dini Hari,0.12065,0.6025,0.626667
3269,2011-05-21,2,0,5,2,0,6,0,1,0.52,0.5,0.72,0.1045,5,35,40,Malam/Dini Hari,0.12065,0.6025,0.626667
3270,2011-05-21,2,0,5,3,0,6,0,1,0.48,0.4697,0.82,0.1045,7,12,19,Malam/Dini Hari,0.12065,0.6025,0.626667
3271,2011-05-21,2,0,5,4,0,6,0,1,0.46,0.4545,0.88,0.1343,1,6,7,Malam/Dini Hari,0.12065,0.6025,0.626667
3272,2011-05-21,2,0,5,5,0,6,0,1,0.46,0.4545,0.88,0.1045,1,4,5,Pagi (Berangkat),0.12065,0.6025,0.626667
3273,2011-05-21,2,0,5,6,0,6,0,1,0.5,0.4848,0.82,0.1343,6,22,28,Pagi (Berangkat),0.12065,0.6025,0.626667
3274,2011-05-21,2,0,5,7,0,6,0,1,0.54,0.5152,0.73,0.1343,10,33,43,Pagi (Berangkat),0.12065,0.6025,0.626667
3275,2011-05-21,2,0,5,8,0,6,0,1,0.56,0.5303,0.68,0.2836,29,97,126,Pagi (Berangkat),0.12065,0.6025,0.626667
3276,2011-05-21,2,0,5,9,0,6,0,1,0.6,0.6061,0.64,0.2239,60,165,225,Pagi (Berangkat),0.12065,0.6025,0.626667
3277,2011-05-21,2,0,5,10,0,6,0,1,0.62,0.6061,0.61,0.1045,122,201,323,Siang (Rekreasi),0.12065,0.6025,0.626667
3278,2011-05-21,2,0,5,11,0,6,0,1,0.64,0.6212,0.53,0.1343,173,245,418,Siang (Rekreasi),0.12065,0.6025,0.626667
3279,2011-05-21,2,0,5,12,0,6,0,1,0.66,0.6212,0.5,0.0,222,271,493,Siang (Rekreasi),0.12065,0.6025,0.626667
3280,2011-05-21,2,0,5,13,0,6,0,1,0.7,0.6364,0.45,0.0,191,271,462,Siang (Rekreasi),0.12065,0.6025,0.626667
3281,2011-05-21,2,0,5,14,0,6,0,1,0.72,0.6515,0.42,0.0,187,269,456,Siang (Rekreasi),0.12065,0.6025,0.626667
3282,2011-05-21,2,0,5,15,0,6,0,1,0.72,0.6515,0.45,0.2537,232,274,506,Siang (Rekreasi),0.12065,0.6025,0.626667
3283,2011-05-21,2,0,5,16,0,6,0,2,0.72,0.6515,0.39,0.2537,204,267,471,Sore (Pulang),0.12065,0.6025,0.626667
3284,2011-05-21,2,0,5,17,0,6,0,2,0.72,0.6515,0.42,0.1642,191,253,444,Sore (Pulang),0.12065,0.6025,0.626667
3285,2011-05-21,2,0,5,18,0,6,0,2,0.7,0.6364,0.45,0.1642,191,253,444,Sore (Pulang),0.12065,0.6025,0.626667
3286,2011-05-21,2,0,5,19,0,6,0,1,0.68,0.6364,0.47,0.1642,117,184,301,Sore (Pulang),0.12065,0.6025,0.626667
3287,2011-05-21,2,0,5,20,0,6,0,1,0.62,0.6061,0.61,0.0,84,164,248,Malam/Dini Hari,0.12065,0.6025,0.626667
3288,2011-05-21,2,0,5,21,0,6,0,1,0.62,0.6061,0.61,0.1045,77,150,227,Malam/Dini Hari,0.12065,0.6025,0.626667
3289,2011-05-21,2,0,5,22,0,6,0,1,0.6,0.5909,0.69,0.1343,78,126,204,Malam/Dini Hari,0.12065,0.6025,0.626667
3290,2011-05-21,2,0,5,23,0,6,0,1,0.58,0.5455,0.78,0.0896,42,103,145,Malam/Dini Hari,0.12065,0.6025,0.626667
3291,2011-05-22,2,0,5,0,0,0,0,1,0.54,0.5152,0.88,0.1642,31,100,131,Malam/Dini Hari,0.148008,0.604167,0.749583
3292,2011-05-22,2,0,5,1,0,0,0,1,0.52,0.5,0.94,0.1343,17,81,98,Malam/Dini Hari,0.148008,0.604167,0.749583
3293,2011-05-22,2,0,5,2,0,0,0,1,0.52,0.5,0.94,0.1045,18,50,68,Malam/Dini Hari,0.148008,0.604167,0.749583
3294,2011-05-22,2,0,5,3,0,0,0,1,0.5,0.4848,1.0,0.1045,10,23,33,Malam/Dini Hari,0.148008,0.604167,0.749583
3295,2011-05-22,2,0,5,4,0,0,0,1,0.5,0.4848,1.0,0.0,3,9,12,Malam/Dini Hari,0.148008,0.604167,0.749583
3296,2011-05-22,2,0,5,5,0,0,0,1,0.5,0.4848,1.0,0.1045,1,5,6,Pagi (Berangkat),0.148008,0.604167,0.749583
3297,2011-05-22,2,0,5,6,0,0,0,1,0.52,0.5,0.94,0.1045,5,13,18,Pagi (Berangkat),0.148008,0.604167,0.749583
3298,2011-05-22,2,0,5,7,0,0,0,1,0.54,0.5152,0.88,0.1045,13,27,40,Pagi (Berangkat),0.148008,0.604167,0.749583
3299,2011-05-22,2,0,5,8,0,0,0,1,0.6,0.5909,0.73,0.0896,29,65,94,Pagi (Berangkat),0.148008,0.604167,0.749583
3300,2011-05-22,2,0,5,9,0,0,0,1,0.62,0.6061,0.69,0.1045,59,130,189,Pagi (Berangkat),0.148008,0.604167,0.749583
3301,2011-05-22,2,0,5,10,0,0,0,1,0.64,0.6061,0.65,0.1343,135,170,305,Siang (Rekreasi),0.148008,0.604167,0.749583
3302,2011-05-22,2,0,5,11,0,0,0,1,0.7,0.6515,0.54,0.194,164,209,373,Siang (Rekreasi),0.148008,0.604167,0.749583
3303,2011-05-22,2,0,5,12,0,0,0,2,0.72,0.6667,0.51,0.194,146,255,401,Siang (Rekreasi),0.148008,0.604167,0.749583
3304,2011-05-22,2,0,5,13,0,0,0,2,0.66,0.6212,0.54,0.2239,180,275,455,Siang (Rekreasi),0.148008,0.604167,0.749583
3305,2011-05-22,2,0,5,14,0,0,0,3,0.62,0.6061,0.69,0.194,125,191,316,Siang (Rekreasi),0.148008,0.604167,0.749583
3306,2011-05-22,2,0,5,15,0,0,0,2,0.66,0.6212,0.61,0.1642,110,221,331,Siang (Rekreasi),0.148008,0.604167,0.749583
3307,2011-05-22,2,0,5,16,0,0,0,1,0.68,0.6364,0.61,0.1343,72,201,273,Sore (Pulang),0.148008,0.604167,0.749583
3308,2011-05-22,2,0,5,17,0,0,0,1,0.7,0.6515,0.58,0.2537,93,213,306,Sore (Pulang),0.148008,0.604167,0.749583
3309,2011-05-22,2,0,5,18,0,0,0,1,0.66,0.6212,0.61,0.2239,120,238,358,Sore (Pulang),0.148008,0.604167,0.749583
3310,2011-05-22,2,0,5,19,0,0,0,1,0.66,0.6212,0.61,0.194,107,193,300,Sore (Pulang),0.148008,0.604167,0.749583
3311,2011-05-22,2,0,5,20,0,0,0,1,0.64,0.6061,0.65,0.1642,57,174,231,Malam/Dini Hari,0.148008,0.604167,0.749583
3312,2011-05-22,2,0,5,21,0,0,0,1,0.62,0.5909,0.73,0.194,27,109,136,Malam/Dini Hari,0.148008,0.604167,0.749583
3313,2011-05-22,2,0,5,22,0,0,0,1,0.6,0.5606,0.83,0.1343,35,86,121,Malam/Dini Hari,0.148008,0.604167,0.749583
3314,2011-05-22,2,0,5,23,0,0,0,2,0.58,0.5455,0.83,0.1343,19,46,65,Malam/Dini Hari,0.148008,0.604167,0.749583
3315,2011-05-23,2,0,5,0,0,1,1,2,0.56,0.5303,0.88,0.1343,23,18,41,Malam/Dini Hari,0.233842,0.631667,0.81
3316,2011-05-23,2,0,5,1,0,1,1,1,0.56,0.5303,0.88,0.1045,4,5,9,Malam/Dini Hari,0.233842,0.631667,0.81
3317,2011-05-23,2,0,5,2,0,1,1,3,0.56,0.5303,0.88,0.1642,2,3,5,Malam/Dini Hari,0.233842,0.631667,0.81
3318,2011-05-23,2,0,5,3,0,1,1,3,0.54,0.5152,0.94,0.1642,0,4,4,Malam/Dini Hari,0.233842,0.631667,0.81
3319,2011-05-23,2,0,5,4,0,1,1,2,0.54,0.5152,0.94,0.0,2,2,4,Malam/Dini Hari,0.233842,0.631667,0.81
3320,2011-05-23,2,0,5,5,0,1,1,2,0.54,0.5152,0.94,0.0,0,11,11,Pagi (Berangkat),0.233842,0.631667,0.81
3321,2011-05-23,2,0,5,6,0,1,1,2,0.54,0.5152,1.0,0.0,4,92,96,Pagi (Berangkat),0.233842,0.631667,0.81
3322,2011-05-23,2,0,5,7,0,1,1,2,0.56,0.5303,0.94,0.1045,13,223,236,Pagi (Berangkat),0.233842,0.631667,0.81
3323,2011-05-23,2,0,5,8,0,1,1,1,0.6,0.5455,0.88,0.194,50,359,409,Pagi (Berangkat),0.233842,0.631667,0.81
3324,2011-05-23,2,0,5,9,0,1,1,1,0.6,0.5455,0.88,0.2239,36,131,167,Pagi (Berangkat),0.233842,0.631667,0.81
3325,2011-05-23,2,0,5,10,0,1,1,1,0.66,0.6212,0.74,0.2985,49,72,121,Siang (Rekreasi),0.233842,0.631667,0.81
3326,2011-05-23,2,0,5,11,0,1,1,1,0.68,0.6364,0.69,0.3881,73,107,180,Siang (Rekreasi),0.233842,0.631667,0.81
3327,2011-05-23,2,0,5,12,0,1,1,1,0.68,0.6364,0.69,0.3881,65,139,204,Siang (Rekreasi),0.233842,0.631667,0.81
3328,2011-05-23,2,0,5,13,0,1,1,2,0.74,0.6818,0.58,0.4179,49,155,204,Siang (Rekreasi),0.233842,0.631667,0.81
3329,2011-05-23,2,0,5,14,0,1,1,2,0.72,0.6818,0.62,0.5224,57,130,187,Siang (Rekreasi),0.233842,0.631667,0.81
3330,2011-05-23,2,0,5,15,0,1,1,2,0.72,0.6818,0.62,0.4478,57,119,176,Siang (Rekreasi),0.233842,0.631667,0.81
3331,2011-05-23,2,0,5,16,0,1,1,2,0.72,0.6818,0.62,0.2985,56,223,279,Sore (Pulang),0.233842,0.631667,0.81
3332,2011-05-23,2,0,5,17,0,1,1,3,0.72,0.6818,0.7,0.3881,56,373,429,Sore (Pulang),0.233842,0.631667,0.81
3333,2011-05-23,2,0,5,18,0,1,1,1,0.7,0.6667,0.74,0.2836,68,385,453,Sore (Pulang),0.233842,0.631667,0.81
3334,2011-05-23,2,0,5,19,0,1,1,1,0.7,0.6667,0.74,0.2239,56,302,358,Sore (Pulang),0.233842,0.631667,0.81
3335,2011-05-23,2,0,5,20,0,1,1,1,0.64,0.5758,0.83,0.2239,39,271,310,Malam/Dini Hari,0.233842,0.631667,0.81
3336,2011-05-23,2,0,5,21,0,1,1,1,0.64,0.5758,0.89,0.2239,33,155,188,Malam/Dini Hari,0.233842,0.631667,0.81
3337,2011-05-23,2,0,5,22,0,1,1,1,0.62,0.5455,0.94,0.2239,25,106,131,Malam/Dini Hari,0.233842,0.631667,0.81
3338,2011-05-23,2,0,5,23,0,1,1,2,0.62,0.5606,0.88,0.194,19,53,72,Malam/Dini Hari,0.233842,0.631667,0.81
3339,2011-05-24,2,0,5,0,0,2,1,2,0.6,0.5152,0.94,0.194,12,23,35,Malam/Dini Hari,0.207092,0.66,0.740833
3340,2011-05-24,2,0,5,1,0,2,1,2,0.6,0.5152,0.94,0.1642,6,9,15,Malam/Dini Hari,0.207092,0.66,0.740833
3341,2011-05-24,2,0,5,2,0,2,1,2,0.6,0.5152,0.94,0.194,2,8,10,Malam/Dini Hari,0.207092,0.66,0.740833
3342,2011-05-24,2,0,5,3,0,2,1,2,0.58,0.5455,0.94,0.1045,0,2,2,Malam/Dini Hari,0.207092,0.66,0.740833
3343,2011-05-24,2,0,5,4,0,2,1,1,0.6,0.5455,0.88,0.1045,1,3,4,Malam/Dini Hari,0.207092,0.66,0.740833
3344,2011-05-24,2,0,5,5,0,2,1,2,0.58,0.5455,0.94,0.2537,2,22,24,Pagi (Berangkat),0.207092,0.66,0.740833
3345,2011-05-24,2,0,5,6,0,2,1,2,0.58,0.5455,0.94,0.194,10,102,112,Pagi (Berangkat),0.207092,0.66,0.740833
3346,2011-05-24,2,0,5,7,0,2,1,3,0.64,0.5909,0.78,0.194,26,288,314,Pagi (Berangkat),0.207092,0.66,0.740833
3347,2011-05-24,2,0,5,8,0,2,1,3,0.62,0.5758,0.83,0.2239,31,403,434,Pagi (Berangkat),0.207092,0.66,0.740833
3348,2011-05-24,2,0,5,9,0,2,1,2,0.64,0.6061,0.73,0.194,27,111,138,Pagi (Berangkat),0.207092,0.66,0.740833
3349,2011-05-24,2,0,5,10,0,2,1,1,0.7,0.6515,0.61,0.3284,18,90,108,Siang (Rekreasi),0.207092,0.66,0.740833
3350,2011-05-24,2,0,5,11,0,2,1,1,0.74,0.6667,0.51,0.2239,33,142,175,Siang (Rekreasi),0.207092,0.66,0.740833
3351,2011-05-24,2,0,5,12,0,2,1,1,0.76,0.6818,0.45,0.3881,41,129,170,Siang (Rekreasi),0.207092,0.66,0.740833
3352,2011-05-24,2,0,5,13,0,2,1,1,0.78,0.697,0.46,0.2537,38,152,190,Siang (Rekreasi),0.207092,0.66,0.740833
3353,2011-05-24,2,0,5,14,0,2,1,1,0.78,0.697,0.46,0.2836,27,126,153,Siang (Rekreasi),0.207092,0.66,0.740833
3354,2011-05-24,2,0,5,15,0,2,1,3,0.74,0.6818,0.55,0.4179,59,129,188,Siang (Rekreasi),0.207092,0.66,0.740833
3355,2011-05-24,2,0,5,16,0,2,1,1,0.66,0.6212,0.69,0.194,52,225,277,Sore (Pulang),0.207092,0.66,0.740833
3356,2011-05-24,2,0,5,17,0,2,1,1,0.7,0.6515,0.61,0.1045,56,492,548,Sore (Pulang),0.207092,0.66,0.740833
3357,2011-05-24,2,0,5,18,0,2,1,1,0.7,0.6515,0.7,0.194,74,490,564,Sore (Pulang),0.207092,0.66,0.740833
3358,2011-05-24,2,0,5,19,0,2,1,1,0.66,0.6212,0.74,0.194,45,310,355,Sore (Pulang),0.207092,0.66,0.740833
3359,2011-05-24,2,0,5,20,0,2,1,1,0.66,0.6212,0.74,0.0896,39,241,280,Malam/Dini Hari,0.207092,0.66,0.740833
3360,2011-05-24,2,0,5,21,0,2,1,1,0.64,0.5909,0.78,0.0896,21,168,189,Malam/Dini Hari,0.207092,0.66,0.740833
3361,2011-05-24,2,0,5,22,0,2,1,3,0.62,0.5606,0.88,0.2239,26,115,141,Malam/Dini Hari,0.207092,0.66,0.740833
3362,2011-05-24,2,0,5,23,0,2,1,3,0.66,0.6212,0.74,0.1642,13,53,66,Malam/Dini Hari,0.207092,0.66,0.740833
3363,2011-05-25,2,0,5,0,0,3,1,3,0.6,0.5606,0.83,0.2239,3,32,35,Malam/Dini Hari,0.154233,0.660833,0.69625
3364,2011-05-25,2,0,5,1,0,3,1,3,0.58,0.5455,0.83,0.194,6,2,8,Malam/Dini Hari,0.154233,0.660833,0.69625
3365,2011-05-25,2,0,5,2,0,3,1,2,0.56,0.5303,0.94,0.0,0,8,8,Malam/Dini Hari,0.154233,0.660833,0.69625
3366,2011-05-25,2,0,5,3,0,3,1,1,0.54,0.5152,1.0,0.1343,0,9,9,Malam/Dini Hari,0.154233,0.660833,0.69625
3367,2011-05-25,2,0,5,4,0,3,1,1,0.54,0.5152,1.0,0.1045,0,3,3,Malam/Dini Hari,0.154233,0.660833,0.69625
3368,2011-05-25,2,0,5,5,0,3,1,1,0.56,0.5303,0.88,0.0896,2,23,25,Pagi (Berangkat),0.154233,0.660833,0.69625
3369,2011-05-25,2,0,5,6,0,3,1,1,0.56,0.5303,0.94,0.0896,4,113,117,Pagi (Berangkat),0.154233,0.660833,0.69625
3370,2011-05-25,2,0,5,7,0,3,1,1,0.62,0.5909,0.73,0.1343,29,284,313,Pagi (Berangkat),0.154233,0.660833,0.69625
3371,2011-05-25,2,0,5,8,0,3,1,1,0.64,0.6061,0.69,0.2239,36,495,531,Pagi (Berangkat),0.154233,0.660833,0.69625
3372,2011-05-25,2,0,5,9,0,3,1,1,0.68,0.6364,0.65,0.0896,27,207,234,Pagi (Berangkat),0.154233,0.660833,0.69625
3373,2011-05-25,2,0,5,10,0,3,1,1,0.7,0.6515,0.61,0.0896,30,105,135,Siang (Rekreasi),0.154233,0.660833,0.69625
3374,2011-05-25,2,0,5,11,0,3,1,1,0.74,0.6667,0.51,0.0896,36,104,140,Siang (Rekreasi),0.154233,0.660833,0.69625
3375,2011-05-25,2,0,5,12,0,3,1,1,0.74,0.6818,0.55,0.1343,32,178,210,Siang (Rekreasi),0.154233,0.660833,0.69625
3376,2011-05-25,2,0,5,13,0,3,1,1,0.74,0.6818,0.55,0.1343,39,163,202,Siang (Rekreasi),0.154233,0.660833,0.69625
3377,2011-05-25,2,0,5,14,0,3,1,1,0.74,0.6818,0.55,0.1642,47,121,168,Siang (Rekreasi),0.154233,0.660833,0.69625
3378,2011-05-25,2,0,5,15,0,3,1,1,0.76,0.697,0.52,0.2537,37,145,182,Siang (Rekreasi),0.154233,0.660833,0.69625
3379,2011-05-25,2,0,5,16,0,3,1,1,0.74,0.6667,0.51,0.2836,61,238,299,Sore (Pulang),0.154233,0.660833,0.69625
3380,2011-05-25,2,0,5,17,0,3,1,1,0.74,0.6667,0.51,0.2239,77,524,601,Sore (Pulang),0.154233,0.660833,0.69625
3381,2011-05-25,2,0,5,18,0,3,1,1,0.72,0.6667,0.58,0.2239,66,451,517,Sore (Pulang),0.154233,0.660833,0.69625
3382,2011-05-25,2,0,5,19,0,3,1,1,0.7,0.6515,0.61,0.1343,73,332,405,Sore (Pulang),0.154233,0.660833,0.69625
3383,2011-05-25,2,0,5,20,0,3,1,1,0.7,0.6515,0.61,0.1642,56,284,340,Malam/Dini Hari,0.154233,0.660833,0.69625
3384,2011-05-25,2,0,5,21,0,3,1,1,0.66,0.6212,0.69,0.1343,33,203,236,Malam/Dini Hari,0.154233,0.660833,0.69625
3385,2011-05-25,2,0,5,22,0,3,1,1,0.66,0.6212,0.69,0.2537,34,140,174,Malam/Dini Hari,0.154233,0.660833,0.69625
3386,2011-05-25,2,0,5,23,0,3,1,1,0.64,0.6061,0.73,0.1343,12,74,86,Malam/Dini Hari,0.154233,0.660833,0.69625
3387,2011-05-26,2,0,5,0,0,4,1,1,0.64,0.6061,0.73,0.1343,11,34,45,Malam/Dini Hari,0.199642,0.708333,0.6775
3388,2011-05-26,2,0,5,1,0,4,1,1,0.64,0.6061,0.73,0.1343,3,13,16,Malam/Dini Hari,0.199642,0.708333,0.6775
3389,2011-05-26,2,0,5,2,0,4,1,1,0.62,0.5758,0.83,0.1045,7,7,14,Malam/Dini Hari,0.199642,0.708333,0.6775
3390,2011-05-26,2,0,5,3,0,4,1,1,0.6,0.5455,0.88,0.0896,0,4,4,Malam/Dini Hari,0.199642,0.708333,0.6775
3391,2011-05-26,2,0,5,4,0,4,1,1,0.6,0.5455,0.88,0.0,0,2,2,Malam/Dini Hari,0.199642,0.708333,0.6775
3392,2011-05-26,2,0,5,5,0,4,1,2,0.6,0.5455,0.88,0.0896,2,25,27,Pagi (Berangkat),0.199642,0.708333,0.6775
3393,2011-05-26,2,0,5,6,0,4,1,2,0.6,0.5,1.0,0.0896,4,94,98,Pagi (Berangkat),0.199642,0.708333,0.6775
3394,2011-05-26,2,0,5,7,0,4,1,2,0.62,0.5455,0.94,0.2537,16,270,286,Pagi (Berangkat),0.199642,0.708333,0.6775
3395,2011-05-26,2,0,5,8,0,4,1,2,0.66,0.6061,0.83,0.1642,31,458,489,Pagi (Berangkat),0.199642,0.708333,0.6775
3396,2011-05-26,2,0,5,9,0,4,1,1,0.72,0.6818,0.7,0.1642,22,194,216,Pagi (Berangkat),0.199642,0.708333,0.6775
3397,2011-05-26,2,0,5,10,0,4,1,1,0.7,0.6667,0.74,0.2836,49,94,143,Siang (Rekreasi),0.199642,0.708333,0.6775
3398,2011-05-26,2,0,5,11,0,4,1,1,0.74,0.697,0.66,0.2239,36,124,160,Siang (Rekreasi),0.199642,0.708333,0.6775
3399,2011-05-26,2,0,5,12,0,4,1,1,0.78,0.7424,0.59,0.3284,53,141,194,Siang (Rekreasi),0.199642,0.708333,0.6775
3400,2011-05-26,2,0,5,13,0,4,1,1,0.82,0.7727,0.52,0.2836,52,145,197,Siang (Rekreasi),0.199642,0.708333,0.6775
3401,2011-05-26,2,0,5,14,0,4,1,1,0.82,0.7727,0.52,0.2836,44,145,189,Siang (Rekreasi),0.199642,0.708333,0.6775
3402,2011-05-26,2,0,5,15,0,4,1,2,0.82,0.7576,0.46,0.2836,40,101,141,Siang (Rekreasi),0.199642,0.708333,0.6775
3403,2011-05-26,2,0,5,16,0,4,1,2,0.8,0.7424,0.49,0.3582,58,233,291,Sore (Pulang),0.199642,0.708333,0.6775
3404,2011-05-26,2,0,5,17,0,4,1,1,0.8,0.7273,0.46,0.2836,49,445,494,Sore (Pulang),0.199642,0.708333,0.6775
3405,2011-05-26,2,0,5,18,0,4,1,1,0.8,0.7273,0.46,0.3284,74,404,478,Sore (Pulang),0.199642,0.708333,0.6775
3406,2011-05-26,2,0,5,19,0,4,1,1,0.78,0.697,0.46,0.3284,67,311,378,Sore (Pulang),0.199642,0.708333,0.6775
3407,2011-05-26,2,0,5,20,0,4,1,1,0.72,0.6667,0.58,0.1642,55,267,322,Malam/Dini Hari,0.199642,0.708333,0.6775
3408,2011-05-26,2,0,5,21,0,4,1,1,0.72,0.6818,0.62,0.0896,45,178,223,Malam/Dini Hari,0.199642,0.708333,0.6775
3409,2011-05-26,2,0,5,22,0,4,1,1,0.7,0.6515,0.65,0.1343,23,157,180,Malam/Dini Hari,0.199642,0.708333,0.6775
3410,2011-05-26,2,0,5,23,0,4,1,1,0.7,0.6515,0.65,0.194,17,73,90,Malam/Dini Hari,0.199642,0.708333,0.6775
3411,2011-05-27,2,0,5,0,0,5,1,1,0.68,0.6364,0.69,0.2537,14,55,69,Malam/Dini Hari,0.240679,0.681667,0.65375
3412,2011-05-27,2,0,5,1,0,5,1,1,0.7,0.6515,0.58,0.2985,14,36,50,Malam/Dini Hari,0.240679,0.681667,0.65375
3413,2011-05-27,2,0,5,2,0,5,1,1,0.68,0.6364,0.61,0.2239,6,12,18,Malam/Dini Hari,0.240679,0.681667,0.65375
3414,2011-05-27,2,0,5,3,0,5,1,1,0.66,0.6212,0.65,0.0896,1,11,12,Malam/Dini Hari,0.240679,0.681667,0.65375
3415,2011-05-27,2,0,5,4,0,5,1,1,0.64,0.6061,0.69,0.1343,2,5,7,Malam/Dini Hari,0.240679,0.681667,0.65375
3416,2011-05-27,2,0,5,5,0,5,1,1,0.64,0.6061,0.65,0.2836,2,29,31,Pagi (Berangkat),0.240679,0.681667,0.65375
3417,2011-05-27,2,0,5,6,0,5,1,1,0.64,0.6061,0.69,0.0896,8,73,81,Pagi (Berangkat),0.240679,0.681667,0.65375
3418,2011-05-27,2,0,5,7,0,5,1,1,0.64,0.6061,0.73,0.1642,20,229,249,Pagi (Berangkat),0.240679,0.681667,0.65375
3419,2011-05-27,2,0,5,8,0,5,1,1,0.66,0.6212,0.74,0.2836,25,393,418,Pagi (Berangkat),0.240679,0.681667,0.65375
3420,2011-05-27,2,0,5,9,0,5,1,1,0.7,0.6515,0.65,0.2836,37,190,227,Pagi (Berangkat),0.240679,0.681667,0.65375
3421,2011-05-27,2,0,5,10,0,5,1,1,0.72,0.6667,0.54,0.3881,42,111,153,Siang (Rekreasi),0.240679,0.681667,0.65375
3422,2011-05-27,2,0,5,11,0,5,1,2,0.74,0.6818,0.55,0.3284,40,126,166,Siang (Rekreasi),0.240679,0.681667,0.65375
3423,2011-05-27,2,0,5,12,0,5,1,2,0.76,0.697,0.55,0.2985,53,190,243,Siang (Rekreasi),0.240679,0.681667,0.65375
3424,2011-05-27,2,0,5,13,0,5,1,1,0.74,0.6818,0.58,0.194,51,158,209,Siang (Rekreasi),0.240679,0.681667,0.65375
3425,2011-05-27,2,0,5,14,0,5,1,1,0.76,0.697,0.55,0.2537,51,188,239,Siang (Rekreasi),0.240679,0.681667,0.65375
3426,2011-05-27,2,0,5,15,0,5,1,1,0.78,0.7121,0.49,0.2836,98,258,356,Siang (Rekreasi),0.240679,0.681667,0.65375
3427,2011-05-27,2,0,5,16,0,5,1,2,0.76,0.697,0.55,0.3881,63,356,419,Sore (Pulang),0.240679,0.681667,0.65375
3428,2011-05-27,2,0,5,17,0,5,1,1,0.74,0.6818,0.58,0.3881,77,414,491,Sore (Pulang),0.240679,0.681667,0.65375
3429,2011-05-27,2,0,5,18,0,5,1,2,0.72,0.6818,0.62,0.2985,89,310,399,Sore (Pulang),0.240679,0.681667,0.65375
